Date,Open,High,Low,Close,Volume
11/02/2025 - 00:00,35.06031915212903,35.13610650302713,34.74770536402385,34.88980484008789,16624300
12/02/2025 - 00:00,34.71928933044609,34.814019911921285,34.20773551750392,34.368778228759766,37364500
13/02/2025 - 00:00,34.292996005841225,34.416148658207874,34.12247806063823,34.406673431396484,15351300
14/02/2025 - 00:00,34.5203501484297,35.60029831712971,34.48246008318243,35.46767044067383,40322000
17/02/2025 - 00:00,35.65713605136295,35.922384582964945,35.49609333253037,35.68555450439453,22615200
18/02/2025 - 00:00,35.732922291609356,36.41499043918,35.72344706506887,36.33920669555664,44062600
19/02/2025 - 00:00,36.10237566496937,36.623401084906334,35.875017212661234,36.41498947143555,32648200
20/02/2025 - 00:00,36.39604110851757,36.53814058697725,36.291838919885635,36.47182846069336,26641200
21/02/2025 - 00:00,36.500250455633214,36.500250455633214,36.15921456520195,36.36762619018555,30115200
24/02/2025 - 00:00,36.47182963073189,36.481301243187794,35.80870473287968,36.111846923828125,27830300
25/02/2025 - 00:00,36.11184837847972,36.41499058163929,35.83712824131269,35.9508056640625,31960900
26/02/2025 - 00:00,36.23500102780708,36.23500102780708,35.76134088365274,35.9508056640625,27420200
27/02/2025 - 00:00,34.444566411265356,34.80454913423925,33.610923542072165,34.681396484375,129693500
28/02/2025 - 00:00,34.56772069094506,34.624557598377464,33.923542572615595,34.0372200012207,55476800
05/03/2025 - 00:00,33.17515605225619,33.26041502049725,32.72991437213736,32.796226501464844,48552000
06/03/2025 - 00:00,32.97622163279399,33.269888619134754,32.23730932601538,32.45519256591797,47749600
07/03/2025 - 00:00,32.483613170692834,33.08989756986896,32.426772653117546,32.805702209472656,28074700
10/03/2025 - 00:00,32.75833643737772,32.796226501464844,32.20888895010427,32.796226501464844,35037200
11/03/2025 - 00:00,32.91937899858039,33.06147848291919,32.12362983651116,32.303619384765625,28805400
12/03/2025 - 00:00,32.36045990124914,32.58781835344321,32.17099512671075,32.303619384765625,20149100
13/03/2025 - 00:00,32.37940784798196,32.72044373107206,32.24678358538917,32.625709533691406,19263600
14/03/2025 - 00:00,32.77727791671248,33.876169218988366,32.559394701421716,33.62986755371094,41529400
17/03/2025 - 00:00,33.7340748331377,34.49193031381434,33.7245996069005,34.25510025024414,31175900
18/03/2025 - 00:00,34.28351974487305,34.49193136355449,34.018271221998546,34.28351974487305,15086400
19/03/2025 - 00:00,34.35930605641342,34.41614657261667,34.13194760534044,34.25510025024414,21180500
20/03/2025 - 00:00,34.25510329384613,34.5582455130513,33.876173712969525,34.33089065551758,46921900
21/03/2025 - 00:00,34.311941465920114,35.079268574736474,34.2740477876788,34.861385345458984,61175700
24/03/2025 - 00:00,34.76665677054314,34.99401162563527,34.57719198213953,34.814022064208984,20348000
25/03/2025 - 00:00,34.90875194566054,35.54345843191738,34.700343934996965,35.0887451171875,28036100
26/03/2025 - 00:00,35.19294850986244,35.64766179333063,35.19294850986244,35.42030334472656,26870300
27/03/2025 - 00:00,35.458199652661456,35.9697534896712,35.42030597279254,35.68555450439453,28444400
28/03/2025 - 00:00,35.66661016640553,35.88449339824966,35.13610950599803,35.45819854736328,22057700
31/03/2025 - 00:00,35.38241265631875,35.65713641757963,35.12663934892717,35.202423095703125,26049400
01/04/2025 - 00:00,35.335044860839844,35.96975131212952,35.24031428064258,35.335044860839844,19075600
02/04/2025 - 00:00,35.30662661291065,35.33504506438553,34.88980699840561,35.24031448364258,16959200
